comment_num,content,crawled_at,created_at,id,image_url,like_num,location,origin_weibo,repost_num,tool,user_id,video_url,weibo_url
,,2020-02-09 01:03,,2721308872,,,,,,,,,
,,2020-02-09 01:03,,1233918314,,,,,,,,,
,,2020-02-09 01:03,,2904412173,,,,,,,,,
,,2020-02-09 01:03,,1820014950,,,,,,,,,
,,2020-02-09 01:03,,2616290484,,,,,,,,,
0,该用户已经累了m:#双黄连可抑制新型冠状病毒#这带货能力…兽用都抢完了,2020-02-09 01:03,01月31日 23:59,5387001727_Is5zx9gdE,,0,,,0,iPhone客户端,5387001727,,https://weibo.com/5387001727/Is5zx9gdE
1,挑食怎么啦:板蓝根：轮到你了。睡前乐呵乐呵，今晚好梦。#双黄连可抑制新型冠状病毒##双黄连口服液脱销#,2020-02-09 01:03,01月31日 23:59,1948213020_Is5zx9gl7,,0,,,0,HUAWEI P30,1948213020,,https://weibo.com/1948213020/Is5zx9gl7
0,小幸运的星星女孩:#双黄连可抑制新型冠状病毒#？？？早知道我应该买双黄连而不是维C银翘片了,2020-02-09 01:03,01月31日 23:59,6032446961_Is5zx9i4e,,0,,,0,HUAWEI nova 2s,6032446961,,https://weibo.com/6032446961/Is5zx9i4e
0,花江夏树OvO:#双黄连可抑制新型冠状病毒#估计又有一波产品要被售空了青岛显示地图,2020-02-09 01:03,01月31日 23:59,5219322925_Is5zxbopN,,1,#双黄连可抑制新型冠状病毒#,,0,nova4自拍极点全面屏,5219322925,,https://weibo.com/5219322925/Is5zxbopN
4,xiababy晚安:这次冠状病毒新型肺炎事件快逼疯熹贵妃这个本来就有强迫症洁癖的人了。他恨恨的说，等事情过去，一定要在家里长期大量备着酒精和口罩。,2020-02-09 01:03,01月31日 23:59,2017118045_Is5zxbr0y,,0,,,0,iPhone客户端,2017118045,,https://weibo.com/2017118045/Is5zxbr0y
0,珍珠奶茶49:#双黄连可抑制新型冠状病毒#孕妇慎用,2020-02-09 01:03,01月31日 23:59,5078352186_Is5zxbsmU,,0,,,0,盼蛋❤️のiPhone 7,5078352186,,https://weibo.com/5078352186/Is5zxbsmU
0,胖叔聊营养:据悉日本国立感染病研究所今日宣称，已经将新型冠状病毒成功分离。据知情人士透露，该研究所在20年前就已经开始研究冠状病毒，但是这个病毒变异速度太快。这不禁让我联想到，对病毒的研究不仅关系到人类健康，更关系到世界的安危。未来，谁掌握了病毒的奥秘，就掌握了主动权，就像《生化危机》中的情景一样。所以，中国必须跟上，只有这样才能保障人民的安全。,2020-02-09 01:04,01月31日 23:59,2156421095_Is5zwzHgL,,0,,,0,360安全浏览器,2156421095,,https://weibo.com/2156421095/Is5zwzHgL
,,2020-02-09 01:04,,5697871343,,,,,,,,,
0,狠狠狠想嘎嘎的_grace叶:#双黄连可抑制新型冠状病毒##封城日记##武汉封城#今天去超市，真的是把我自己吓到了吓傻了有木有，限号进入，就像国广那些卖包的奢侈品牌子店一样，还没轮到我进去呢一群穿着全白生化服的两人就进去了对着所有商品一顿猛喷，消毒水🙈你说这些菜我还敢买吗？我买，我还买了小1k剩下的2包尿不湿我也抢了。不过感觉其他人都还满淡定的。就我们买的最多，回家了想泡酒精可不可以？？？,2020-02-09 01:04,01月31日 23:59,1761776232_Is5zwzH3u,http://wx4.sinaimg.cn/wap180/69029268ly1gbg6kxntitj213i13ib29.jpg,1,,,0,Android,1761776232,,https://weibo.com/1761776232/Is5zwzH3u
0,大白牙大妙:#双黄连可抑制新型冠状病毒#中成药居然打了一场翻身仗,2020-02-09 01:04,01月31日 23:59,3205743605_Is5zwzn7H,,0,,,0,Redmi K30 5G先锋,3205743605,,https://weibo.com/3205743605/Is5zwzn7H
0,三十九度风er:#双黄连可抑制新型冠状病毒#当年SARS抢板蓝根，现在改抢双黄连了？,2020-02-09 01:04,01月31日 23:59,5688392930_Is5zwxzKp,,0,,,0,,5688392930,,https://weibo.com/5688392930/Is5zwxzKp
,,2020-02-09 01:04,,1644548270,,,,,,,,,
4,Mia_兔_Baby:奶啤奈雪一点点喜茶coco兰芳园油炸烤串麻辣烫这些你都吃不上#新型冠状病毒#,2020-02-09 01:04,01月30日 23:59,3912367954_IrW8SfxgD,http://wx4.sinaimg.cn/wap180/e931ff52ly1gbf14krvtsj20jy0im75e.jpg,0,,,0,小米8青春版 潮流旗舰,3912367954,,https://weibo.com/3912367954/IrW8SfxgD
0,转身天涯1314:我在看：【钟南山：新型冠状病毒肺炎很可能来自野味】#跟新浪看热点#钟南山：新型冠状病毒肺炎很可能来自野味,2020-02-09 01:04,01月30日 23:59,6422970086_IrW8RkJAO,,0,,,0,新浪新闻客户端,6422970086,,https://weibo.com/6422970086/IrW8RkJAO
1,kk小胃闹闹:大忻州挺住啊，当年非典没有病例，今年的新型冠状病毒一定要抗过去，山西加油[加油]一定做好防护。,2020-02-09 01:04,01月30日 23:59,3157259610_IrW8QuuRt,http://wx2.sinaimg.cn/wap180/bc2ff55aly1gbf12tnzmaj20ci0m8aak.jpg,1,,,0,HUAWEI P30 Pro,3157259610,,https://weibo.com/3157259610/IrW8QuuRt
0,您的好友冷漠的说转发了杭州电视台综合频道的微博:#李兰娟院士再谈新型冠状病毒#【目前病源判定来自野生动物，但尚未找到具体源头】家养的宠物不会携带新型冠状病毒，目前病源判定来自野生动物，但尚未找到具体源头。除武汉以外的其他地区都是输入性病例，所以目前来看这里的动物还不存在传染源。杭州电视台综合频道的微博视频,2020-02-09 01:04,01月30日 23:59,1764995415_IrW8PjslC,,0,,https://weibo.cn/comment/IqQVit02R?rl=1#cmtfrm,0,HUAWEI P20,1764995415,,https://weibo.com/1764995415/IrW8PjslC
0,混世大魔王很酷哦:#新型冠状病毒#WHO已辟谣请理智防疫！！😷[组图共2张],2020-02-09 01:04,01月30日 23:59,2034359945_IrW8O8kTR,http://wx1.sinaimg.cn/wap180/7941de89ly1gbf120ppxhj20n00odwly.jpg,1,,,0,iPhone客户端,2034359945,,https://weibo.com/2034359945/IrW8O8kTR
0,旅游攻略菌:#旅游小攻略[超话]##旅游##河南##河南旅游##河南旅游攻略##带着微博去旅行##遇见美好##不止旅行#旅游攻略菌分享第81期河南旅游攻略：中国人为什么偏爱河南？看看我这篇旅游攻略就明白了，[坏笑]，超全的河南旅游攻略码起来哦！目前因新型冠状病毒疫情严重，建议大家不要出游[组图共9张],2020-02-09 01:04,01月30日 23:59,3889555393_IrW8Nw8AF,http://wx3.sinaimg.cn/wap180/e7d5e7c1gy1gbf12mk9jij20dc24o7br.jpg,0,,,0,旅游小攻略超话,3889555393,,https://weibo.com/3889555393/IrW8Nw8AF
,,2020-02-09 01:04,,1043215740,,,,,,,,,
0,ChildrenWong转发了辰星综艺速递的微博:#最小新型肺炎确诊病例仅2岁#请放下你的盲目自信请照顾好自己和家人对自己和家人朋友负责！能让武汉封城、北京所有庙会取消、上海迪斯尼关闭、贺岁电影全部下架、全国戒备百城空港！！疫情一定严重到超乎我们的想象了！辰星综艺速递的微博视频,2020-02-09 01:04,01月30日 23:59,1304035602_IrW8Nd0nn,,0,,https://weibo.cn/comment/Ir6MFFGqQ?rl=1#cmtfrm,0,iPhone客户端,1304035602,,https://weibo.com/1304035602/IrW8Nd0nn
,,2020-02-09 01:04,,2517184934,,,,,,,,,
,,2020-02-09 01:04,,2141581892,,,,,,,,,
,,2020-02-09 01:04,,5800758432,,,,,,,,,
,,2020-02-09 01:04,,5556869525,,,,,,,,,
,,2020-02-09 01:04,,5069691414,,,,,,,,,
,,2020-02-09 01:04,,1871659471,,,,,,,,,
,,2020-02-09 01:05,,5883130710,,,,,,,,,
,,2020-02-09 01:05,,2156421095,,,,,,,,,
,,2020-02-09 01:05,,1761776232,,,,,,,,,
,,2020-02-09 01:05,,3205743605,,,,,,,,,
